id,season,episode,title,wiki_url
Episode:The_Magic_Xylophone,1,1,The Magic Xylophone,/wiki/The_Magic_Xylophone
Episode:Hospital,1,2,Hospital,/wiki/Hospital
Episode:Keepy_Uppy,1,3,Keepy Uppy,/wiki/Keepy_Uppy
Episode:Daddy_Robot,1,4,Daddy Robot,/wiki/Daddy_Robot
Episode:Shadowlands,1,5,Shadowlands,/wiki/Shadowlands
Episode:The_Weekend,1,6,The Weekend,/wiki/The_Weekend
Episode:BBQ,1,7,BBQ,/wiki/BBQ
Episode:Fruitbat,1,8,Fruitbat,/wiki/Fruitbat
Episode:Horsey_Ride,1,9,Horsey Ride,/wiki/Horsey_Ride
Episode:Hotel,1,10,Hotel,/wiki/Hotel
Episode:Bike,1,11,Bike,/wiki/Bike
Episode:Bob_Bilby,1,12,Bob Bilby,/wiki/Bob_Bilby
Episode:Spy_Game,1,13,Spy Game,/wiki/Spy_Game
Episode:Takeaway,1,14,Takeaway,/wiki/Takeaway
Episode:Butterflies,1,15,Butterflies,/wiki/Butterflies
Episode:Yoga_Ball,1,16,Yoga Ball,/wiki/Yoga_Ball
Episode:Calypso_(Episode),1,17,Calypso,/wiki/Calypso_(Episode)
Episode:The_Doctor,1,18,The Doctor,/wiki/The_Doctor
Episode:The_Claw,1,19,The Claw,/wiki/The_Claw
Episode:Markets,1,20,Markets,/wiki/Markets
Episode:Blue_Mountains,1,21,Blue Mountains,/wiki/Blue_Mountains
Episode:The_Pool,1,22,The Pool,/wiki/The_Pool
Episode:Shops,1,23,Shops,/wiki/Shops
Episode:Wagon_Ride,1,24,Wagon Ride,/wiki/Wagon_Ride
Episode:Taxi,1,25,Taxi,/wiki/Taxi
Episode:The_Beach,1,26,The Beach,/wiki/The_Beach
Episode:Pirates,1,27,Pirates,/wiki/Pirates
Episode:Grannies,1,28,Grannies,/wiki/Grannies
Episode:The_Creek,1,29,The Creek,/wiki/The_Creek
Episode:Fairies,1,30,Fairies,/wiki/Fairies
Episode:Work,1,31,Work,/wiki/Work
Episode:Bumpy_and_the_Wise_Old_Wolfhound,1,32,Bumpy and the Wise Old Wolfhound,/wiki/Bumpy_and_the_Wise_Old_Wolfhound
Episode:Trampoline,1,33,Trampoline,/wiki/Trampoline
Episode:The_Dump,1,34,The Dump,/wiki/The_Dump
Episode:Zoo,1,35,Zoo,/wiki/Zoo
Episode:Backpackers,1,36,Backpackers,/wiki/Backpackers
Episode:The_Adventure,1,37,The Adventure,/wiki/The_Adventure
Episode:Copycat,1,38,Copycat,/wiki/Copycat
Episode:The_Sleepover,1,39,The Sleepover,/wiki/The_Sleepover
Episode:Early_Baby,1,40,Early Baby,/wiki/Early_Baby
Episode:Mums_and_Dads,1,41,Mums and Dads,/wiki/Mums_and_Dads
Episode:Hide_and_Seek,1,42,Hide and Seek,/wiki/Hide_and_Seek
Episode:Camping,1,43,Camping,/wiki/Camping
Episode:Mount_Mumandad,1,44,Mount Mumandad,/wiki/Mount_Mumandad
Episode:Kids,1,45,Kids,/wiki/Kids
Episode:Chickenrat,1,46,Chickenrat,/wiki/Chickenrat
Episode:Neighbours,1,47,Neighbours,/wiki/Neighbours
Episode:Teasing,1,48,Teasing,/wiki/Teasing
Episode:Asparagus,1,49,Asparagus,/wiki/Asparagus
Episode:Shaun,1,50,Shaun,/wiki/Shaun
Episode:Daddy_Putdown,1,51,Daddy Putdown,/wiki/Daddy_Putdown
Episode:Verandah_Santa,1,52,Verandah Santa,/wiki/Verandah_Santa
Episode:Dance_Mode,2,1,Dance Mode,/wiki/Dance_Mode
Episode:Hammerbarn,2,2,Hammerbarn,/wiki/Hammerbarn
Episode:Featherwand,2,3,Featherwand,/wiki/Featherwand
Episode:Squash,2,4,Squash,/wiki/Squash
Episode:Hairdressers,2,5,Hairdressers,/wiki/Hairdressers
Episode:Stumpfest,2,6,Stumpfest,/wiki/Stumpfest
Episode:Favourite_Thing,2,7,Favourite Thing,/wiki/Favourite_Thing
Episode:Daddy_Dropoff,2,8,Daddy Dropoff,/wiki/Daddy_Dropoff
Episode:Bingo_(Episode),2,9,Bingo,/wiki/Bingo_(Episode)
Episode:Rug_Island,2,10,Rug Island,/wiki/Rug_Island
Episode:Charades,2,11,Charades,/wiki/Charades
Episode:Sticky_Gecko,2,12,Sticky Gecko,/wiki/Sticky_Gecko
Episode:Dad_Baby,2,13,Dad Baby,/wiki/Dad_Baby
Episode:Mum_School,2,14,Mum School,/wiki/Mum_School
Episode:Trains,2,15,Trains,/wiki/Trains
Episode:Army,2,16,Army,/wiki/Army
Episode:Fancy_Restaurant,2,17,Fancy Restaurant,/wiki/Fancy_Restaurant
Episode:Piggyback,2,18,Piggyback,/wiki/Piggyback
Episode:The_Show,2,19,The Show,/wiki/The_Show
Episode:Tickle_Crabs,2,20,Tickle Crabs,/wiki/Tickle_Crabs
Episode:Escape,2,21,Escape,/wiki/Escape
Episode:Bus,2,22,Bus,/wiki/Bus
Episode:Queens,2,23,Queens,/wiki/Queens
Episode:Flat_Pack,2,24,Flat Pack,/wiki/Flat_Pack
Episode:Helicopter,2,25,Helicopter,/wiki/Helicopter
Episode:Sleepytime,2,26,Sleepytime,/wiki/Sleepytime
Episode:Grandad,2,27,Grandad,/wiki/Grandad
Episode:Seesaw,2,28,Seesaw,/wiki/Seesaw
Episode:Movies,2,29,Movies,/wiki/Movies
Episode:Library,2,30,Library,/wiki/Library
Episode:Barky_Boats,2,31,Barky Boats,/wiki/Barky_Boats
Episode:Burger_Shop,2,32,Burger Shop,/wiki/Burger_Shop
Episode:Circus,2,33,Circus,/wiki/Circus
Episode:Swim_School,2,34,Swim School,/wiki/Swim_School
Episode:Caf%C3%A9,2,35,Café,/wiki/Cafe
Episode:Postman,2,36,Postman,/wiki/Postman
Episode:The_Quiet_Game,2,37,The Quiet Game,/wiki/The_Quiet_Game
Episode:Mr_Monkeyjocks,2,38,Mr Monkeyjocks,/wiki/Mr_Monkeyjocks
Episode:Double_Babysitter,2,39,Double Babysitter,/wiki/Double_Babysitter
Episode:Bad_Mood,2,40,Bad Mood,/wiki/Bad_Mood
Episode:Octopus,2,41,Octopus,/wiki/Octopus
Episode:Bin_Night,2,42,Bin Night,/wiki/Bin_Night
Episode:Muffin_Cone,2,43,Muffin Cone,/wiki/Muffin_Cone
Episode:Duck_Cake,2,44,Duck Cake,/wiki/Duck_Cake
Episode:Handstand,2,45,Handstand,/wiki/Handstand
Episode:Road_Trip,2,46,Road Trip,/wiki/Road_Trip
Episode:Ice_Cream,2,47,Ice Cream,/wiki/Ice_Cream
Episode:Dunny,2,48,Dunny,/wiki/Dunny
Episode:Typewriter,2,49,Typewriter,/wiki/Typewriter
Episode:Baby_Race,2,50,Baby Race,/wiki/Baby_Race
Episode:Christmas_Swim,2,51,Christmas Swim,/wiki/Christmas_Swim
Episode:Easter,2,52,Easter,/wiki/Easter
Episode:Perfect,3,1,Perfect,/wiki/Perfect
Episode:Bedroom,3,2,Bedroom,/wiki/Bedroom
Episode:Obstacle_Course,3,3,Obstacle Course,/wiki/Obstacle_Course
Episode:Promises,3,4,Promises,/wiki/Promises
Episode:Omelette,3,5,Omelette,/wiki/Omelette
Episode:Born_Yesterday,3,6,Born Yesterday,/wiki/Born_Yesterday
Episode:Mini_Bluey,3,7,Mini Bluey,/wiki/Mini_Bluey
Episode:Unicorse,3,8,Unicorse,/wiki/Unicorse
Episode:Curry_Quest,3,9,Curry Quest,/wiki/Curry_Quest
Episode:Magic,3,10,Magic,/wiki/Magic
Episode:Chest,3,11,Chest,/wiki/Chest
Episode:Sheepdog,3,12,Sheep Dog,/wiki/Sheep_Dog
Episode:Housework,3,13,Housework,/wiki/Housework
Episode:Pass_the_Parcel,3,14,Pass the Parcel,/wiki/Pass_the_Parcel
Episode:Explorers,3,15,Explorers,/wiki/Explorers
Episode:Phones,3,16,Phones,/wiki/Phones
Episode:Pavlova,3,17,Pavlova,/wiki/Pavlova_(Episode)
Episode:Rain,3,18,Rain,/wiki/Rain
Episode:Pizza_Girls,3,19,Pizza Girls,/wiki/Pizza_Girls
Episode:Driving,3,20,Driving,/wiki/Driving
Episode:Tina,3,21,Tina,/wiki/Tina
Episode:Whale_Watching,3,22,Whale Watching,/wiki/Whale_Watching
Episode:Family_Meeting,3,23,Family Meeting,/wiki/Family_Meeting
Episode:Faceytalk,3,24,Faceytalk,/wiki/Faceytalk
Episode:Ragdoll,3,25,Ragdoll,/wiki/Ragdoll
Episode:Fairytale,3,26,Fairytale,/wiki/Fairytale
Episode:Musical_Statues,3,27,Musical Statues,/wiki/Musical_Statues
Episode:Stories,3,28,Stories,/wiki/Stories
Episode:Puppets,3,29,Puppets,/wiki/Puppets
Episode:Turtleboy,3,30,Turtleboy,/wiki/Turtleboy
Episode:Onesies,3,31,Onesies,/wiki/Onesies
Episode:Tradies,3,32,Tradies,/wiki/Tradies
Episode:Granny_Mobile,3,33,Granny Mobile,/wiki/Granny_Mobile
Episode:Space,3,34,Space,/wiki/Space
Episode:Smoochy_Kiss,3,35,Smoochy Kiss,/wiki/Smoochy_Kiss
Episode:Dirt,3,36,Dirt,/wiki/Dirt
Episode:The_Decider,3,37,The Decider,/wiki/The_Decider
Episode:Cubby,3,38,Cubby,/wiki/Cubby
Episode:Exercise,3,39,Exercise,/wiki/Exercise
Episode:Relax,3,40,Relax,/wiki/Relax
Episode:Stickbird,3,41,Stickbird,/wiki/Stickbird
Episode:Show_And_Tell,3,42,Show & Tell,/wiki/Show_and_tell
Episode:Dragon,3,45,Dragon,/wiki/Dragon
Episode:Wild_Girls,3,46,Wild Girls,/wiki/Wild_Girls
Episode:TV_Shop,3,43,TV Shop,/wiki/TV_Shop
Episode:Slide,3,44,Slide,/wiki/Water_Slide
Episode:Cricket,3,47,Cricket,/wiki/Cricket
Episode:Ghostbasket,3,48,Ghost Basket,/wiki/Ghost_Basket
Episode:The_Sign,3,49,The Sign,/wiki/The_Sign
Episode:Surprise!,3,50,Surprise!,/wiki/Surprise!
